symbol,date,price
Temp,2015-12-13,0
Vandelay,2015-12-13,0
Harper,2015-12-13,0
Harris,2015-12-13,0
Fisher,2015-12-14,3910
Arno,2015-12-14,7639
Temp,2015-12-14,0
Vandelay,2015-12-14,830
Harper,2015-12-14,1990
Harris,2015-12-14,38011
Fisher,2015-12-15,3540
Arno,2015-12-15,0
Temp,2015-12-15,155
Vandelay,2015-12-15,1957
Harper,2015-12-15,13858
Harris,2015-12-15,7777
Fisher,2015-12-16,0
Arno,2015-12-16,120
Temp,2015-12-16,0
Vandelay,2015-12-16,463
Harper,2015-12-16,6960
Harris,2015-12-16,8889
Fisher,2015-12-17,0
Arno,2015-12-17,0
Temp,2015-12-17,0
Vandelay,2015-12-17,748
Harper,2015-12-17,3264
Harris,2015-12-17,9476
Fisher,2015-12-18,0
Arno,2015-12-18,7360
Temp,2015-12-18,0
Vandelay,2015-12-18,484
Harper,2015-12-18,0
Harris,2015-12-18,8648
Fisher,2015-12-19,0
Arno,2015-12-19,0
Temp,2015-12-19,0
Vandelay,2015-12-19,0
Harper,2015-12-19,0
Harris,2015-12-19,372
Fisher,2015-12-20,0
Arno,2015-12-20,0
Temp,2015-12-20,0
Vandelay,2015-12-20,0
Harper,2015-12-20,0
Harris,2015-12-20,0
Fisher,2015-12-21,3299
Arno,2015-12-21,7304
Temp,2015-12-21,0
Vandelay,2015-12-21,658
Harper,2015-12-21,160
Harris,2015-12-21,28750
Fisher,2015-12-22,3205
Arno,2015-12-22,0
Temp,2015-12-22,0
Vandelay,2015-12-22,1300
Harper,2015-12-22,480
Harris,2015-12-22,8515
Fisher,2015-12-23,0
Arno,2015-12-23,0
Temp,2015-12-23,0
Vandelay,2015-12-23,0
Harper,2015-12-23,0
Harris,2015-12-23,0
Fisher,2015-12-24,0
Arno,2015-12-24,0
Temp,2015-12-24,0
Vandelay,2015-12-24,0
Harper,2015-12-24,0
Harris,2015-12-24,0
Fisher,2015-12-25,0
Arno,2015-12-25,0
